id,title,year,period,release_date,original_language,runtime,revenue,popularity,vote_average,vote_count,genres,production_countries,spoken_languages,production_companies,overview,status,tagline,imdb_id,poster_path,homepage
128,Princess Mononoke,1997,"[1950,2013]",1997-07-12,ja,134,176506186,9.3075,8.327,8436,"Adventure, Animation, Fantasy",Japan,Japanese,"dentsu, dentsu Music and Entertainment, Nibariki, Nippon Television Network Corporation, Studio Ghibli, TNDG, Tokuma Shoten","Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",Released,The fate of the world rests on the courage of one warrior.,tt0119698,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,http://www.princess-mononoke.com/
10200,The Day the Earth Stood Still,2008,"[1950,2013]",2008-12-10,en,104,233093859,4.247,5.643,3522,"Drama, Science Fiction, Thriller",Canada,"English, Mandarin","20th Century Fox, 3 Arts Entertainment, Dune Entertainment III, Earth Canada Productions, Hammerhead Productions","A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",Released,We thought the Earth was ours. We were wrong.,tt0970416,/vBgFSYmG5tb7GsZ3tHR0WNaWaxA.jpg,NA
10200,The Day the Earth Stood Still,2008,"[1950,2013]",2008-12-10,en,104,233093859,4.247,5.643,3522,"Drama, Science Fiction, Thriller",United States of America,"English, Mandarin","20th Century Fox, 3 Arts Entertainment, Dune Entertainment III, Earth Canada Productions, Hammerhead Productions","A representative of an alien race that went through drastic evolution to survive its own climate change, Klaatu comes to Earth to assess whether humanity can prevent the environmental damage they have inflicted on their own planet. When barred from speaking to the United Nations, he decides humankind shall be exterminated so the planet can survive.",Released,We thought the Earth was ours. We were wrong.,tt0970416,/vBgFSYmG5tb7GsZ3tHR0WNaWaxA.jpg,NA
1057491,Naughty,2023,"(2020,2025]",2023-02-14,ru,109,NA,4.7799,6.176,85,Drama,Russia,Russian,SSB Films,"Twenty-year-old Elya is a student and a future ecologist. One day, Matvey, the head of a construction company, comes to her university to talk about a development plan on the site of an old forest park. Elya does not hesitate to smash his project to smithereens. Matvey is intrigued by the girl's self-confidence and uses his usual methods of influence - he simply tries to ""buy"" her. But Elya doesn't need a sponsor. Then Matvey, surprised by her impregnability, offers Elya a bet: seven romantic days according to his rules. If after that the girl still decides to leave, he will refuse to build a skyscraper in the forest park. She agrees when Matvey really suspends the design work. Elya sees herself as something like the heroine of the film Pretty Woman, but Matvey turns out to be not at all the person she imagined.",Released,NA,tt23806182,/9vUEWR3LjQcPqaev2Rfm5uKvV9i.jpg,NA
40508,3 Ninjas Knuckle Up,1995,"[1950,2013]",1995-04-07,en,85,413479,1.7142,5.028,196,"Action, Adventure, Comedy, Family",United States of America,English,TriStar Pictures,"Rocky, Colt and TumTum must battle an evil wealthy toxic waste dumper in order to save a local Indian tribe and their friend Joe. The 3 Ninjas must help find Joe's father and find a secret disk that contains evidence that could stop the toxic landfill that is destroying the Indian community. However the town is owned by the rich man and he controls the police and even the mayor. They must fight a motorcycle gang and renegade cowboys in this non-stop ninja adventure.",Released,"Tum Tum, Colt and Rocky are back for all new non-stop Ninja action!",tt0112255,/A2664BFz1Xmxyprh9DoxXIEldhb.jpg,NA
410718,Before the Flood,2016,"(2013,2020]",2016-10-21,en,93,NA,1.2094,7.699,791,Documentary,United States of America,"English, French, Turkish","Appian Way, Diamond Docs, National Geographic, RatPac Documentary Films","A look at how climate change affects our environment and what society can do to prevent the demise of endangered species, ecosystems, and native communities across the planet.",Released,"The science is clear, the future is not.",tt5929776,/u0EfH2zsp6rLOvEKVvWGgzGRQn3.jpg,NA
458737,First Reformed,2018,"(2013,2020]",2018-05-18,en,113,3988612,2.9805,7,1370,Drama,United Kingdom,English,"Arclight Films, Big Indie Pictures, Fibonacci Films, Killer Films, Omeira Studio Partners",A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,Released,The kingdom come undone.,tt6053438,/8HKA3Hwf8jQWy8TCYWr7C8Wft23.jpg,https://a24films.com/films/first-reformed
458737,First Reformed,2018,"(2013,2020]",2018-05-18,en,113,3988612,2.9805,7,1370,Drama,United States of America,English,"Arclight Films, Big Indie Pictures, Fibonacci Films, Killer Films, Omeira Studio Partners",A pastor of a small church in upstate New York starts to spiral out of control after a soul-shaking encounter with an unstable environmental activist and his pregnant wife.,Released,The kingdom come undone.,tt6053438,/8HKA3Hwf8jQWy8TCYWr7C8Wft23.jpg,https://a24films.com/films/first-reformed
87499,The East,2013,"[1950,2013]",2013-05-31,en,116,2401510,1.0145,6.556,800,"Drama, Thriller",United Kingdom,English,"Scott Free Productions, TSG Entertainment",An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,Released,"Spy on us, we'll spy on you.",tt1869716,/nGoFIX5WmthZZ3eLBd0QwDSkWNy.jpg,http://www.theeastmovie.com/
87499,The East,2013,"[1950,2013]",2013-05-31,en,116,2401510,1.0145,6.556,800,"Drama, Thriller",United States of America,English,"Scott Free Productions, TSG Entertainment",An operative for an elite private intelligence firm finds her priorities irrevocably changed after she is tasked with infiltrating an anarchist group known for executing covert attacks upon major corporations.,Released,"Spy on us, we'll spy on you.",tt1869716,/nGoFIX5WmthZZ3eLBd0QwDSkWNy.jpg,http://www.theeastmovie.com/
348657,Woman at War,2018,"(2013,2020]",2018-05-22,is,101,NA,0.8801,7.227,417,"Comedy, Drama, Thriller",France,"English, Icelandic, Spanish, Ukrainian","Gulldrengurinn, Köggull Filmworks, Ministry of Culture of Ukraine, Slot Machine, Solar Media Entertainment, Ukrainian State Film Agency, Vintage Pictures",Halla declares a one-woman-war on the local aluminium industry. She is prepared to risk everything to protect the pristine Icelandic Highlands she loves… Until an orphan unexpectedly enters her life.,Released,Halla is a choir teacher. She's also a saboteur.,tt7279188,/9IwRoLxbYF1Vu1KxHt0aLbyeS5u.jpg,https://www.womanatwarfilm.com
348657,Woman at War,2018,"(2013,2020]",2018-05-22,is,101,NA,0.8801,7.227,417,"Comedy, Drama, Thriller",Iceland,"English, Icelandic, Spanish, Ukrainian","Gulldrengurinn, Köggull Filmworks, Ministry of Culture of Ukraine, Slot Machine, Solar Media Entertainment, Ukrainian State Film Agency, Vintage Pictures",Halla declares a one-woman-war on the local aluminium industry. She is prepared to risk everything to protect the pristine Icelandic Highlands she loves… Until an orphan unexpectedly enters her life.,Released,Halla is a choir teacher. She's also a saboteur.,tt7279188,/9IwRoLxbYF1Vu1KxHt0aLbyeS5u.jpg,https://www.womanatwarfilm.com
