id,review,rv_fixed
128,Probably the best movie from Miyazaki. A mixture of old Japanese traditions with the story about the conflict between the industrial human being and the preservation of the Nature.,Probably the best movie from Miyazaki. A mixture of old Japanese traditions with the story about the conflict between the industrial human being and the preservation of the Nature.
128,"Hayao Miyazaki's arts have always something to remember us that we are naturally harmonized with mother earth and existences. There is still a bond, if one is hurt another, it means the one suffer itself as well.","Hayao Miyazaki's arts have always something to remember us that we are naturally harmonized with mother earth and existences. There is still a bond, if one is hurt another, it means the one suffer itself as well."
128,"Original title: Mononoke Hime

The film is set in the 14th Century during Japan’s Muromachi Period.

Young Prince Ashitaka, the last royal of his line, slays a wild boar that is about to attack his village. The boar, demonised because it was consumed by rage and hatred, infects the young Prince, who will eventually become demonised too.

He leaves the village to find a cure in the form of Shishigami, a deer-like god. On his journey he realises that the latent rage and hatred within him, when it surfaces, gives him enormous power – proven when he slices off the arms of a Samurai warrior and decapitates another one.

On his journey, he sees a travelling group of people attacked by a wolf pack. He saves two of the men who, it turns out, are from Irontown, run by the Lady Ishobi. He brings the two men back to Irontown, which is peopled by women who do the foundry-work and chores, and men who provide the security and protection, although even that is not cut and dried as the women are capable of defending themselves with guns being manufactured especially for them by the lepers to whom the Lady Ishobi provides food and dignity. There is much humour when the women verbally chastise their menfolk. I found those scenes hilarious.

When Ashitaka brings the men back to Irontown he is welcomed by the Lady Ishobi. He also discovers that the wolf pack was led by the wolf god Moro, and the strange girl he saw help the wolves was San, the adopted daughter of Moro. San has the ability to talk to the nature spirits, and she is therefore known as Princess Mononoke (“Spirits of things”).

Ashitaka is concerned that Ishobi is destroying the forest. It turns out that the Lady Ishobi and Moro are in battle because of the damage being done to the forest.

To add to this, Ishobi has also recruited Samurai to help her in her fight, but the Samurai have two motives: one is to take the head of the Forest Spirit back to the Emperor, who believes it will give him immortality. The second is to take Irontown from the Lady Ishobi.

That is an abstract of the plot.

Miyazaki used computer-generated graphics in this for the first time, but most of the film was generated by hand. This I think is to its benefit. The drawing is breathtaking in places, and the depiction of such supernatural events as the Forest Spirit changing into the Nightwalker and the scene of the demon-possessed boar when it emerges from the forest for the first time are spectacular.

I think it’s too scary and bloody for children, but a friend assures me that this sort of film is par for the course for children in Japan.

The film is over two hours long, and it does pack a lot into that two hours. I found this film very interesting and watchable. I wanted to know what happened, and the plot was certainly not predictable. I believed in the world it depicted. I think in any film you have to allow it to draw you into its world (up to a point, some films are ludicrous and expect too much, this isn’t one of them).

Part of the reason for the film’s ability to keep me interested is because the characters cannot be labelled “goodies” and “baddies.” Yes, Moro and his pack are attacking helpless workers, but they are destroying the forest and he needs to protect his way of life. Yes, the Lady Ishobi is destroying the forest, but she’s making a living for herself and is helping others: she has removed the women from servitude in brothels, given them security, work, and a home; some have found husbands or companions. She has provided shelter, home and work for the lepers, normally outcasts. Neither side seems particularly vindictive; Ishobi’s attempts to rid herself of the wolf pack are for self preservation, and her coalition with the Samurai to destroy the Forest Spirit is her attempt to remove the constant threat of attack. One can argue that if she took a more conciliatory view, maybe some sort of truce could be reached, but time and again members of the wolf pack merely say “they are humans, they must be killed” – to the point that even Ashitaki, who has helped the animals – is threatened with death if he does not leave the forest. In fact, one could argue that it is the animals who show a “racist” attitude here – demanding the death of the humans because they are humans. None of the humans in the film demand the death of the animals simply because they are animals. Their deaths, and the destruction of their habitat, are an unfortunate side-effect of the humans’ industrialisation, not a deliberate act.

I hope that what you see from my analysis above is that the film is not goodies v. baddies. It’s nature v. industrialisation, and the compromise to that is not an easy one, and the film reflects that.

You’ll be happy to know the film does have an upbeat ending, but thankfully it’s not entirely predictable, in my opinion.

I thoroughly recommend the film.","Original title: Mononoke Hime

The film is set in the 14th Century during Japan’s Muromachi Period.

Young Prince Ashitaka, the last royal of his line, slays a wild boar that is about to attack his village. The boar, demonised because it was consumed by rage and hatred, infects the young Prince, who will eventually become demonised too.

He leaves the village to find a cure in the form of Shishigami, a deer-like god. On his journey he realises that the latent rage and hatred within him, when it surfaces, gives him enormous power – proven when he slices off the arms of a Samurai warrior and decapitates another one.

On his journey, he sees a travelling group of people attacked by a wolf pack. He saves two of the men who, it turns out, are from Irontown, run by the Lady Ishobi. He brings the two men back to Irontown, which is peopled by women who do the foundry-work and chores, and men who provide the security and protection, although even that is not cut and dried as the women are capable of defending themselves with guns being manufactured especially for them by the lepers to whom the Lady Ishobi provides food and dignity. There is much humour when the women verbally chastise their menfolk. I found those scenes hilarious.

When Ashitaka brings the men back to Irontown he is welcomed by the Lady Ishobi. He also discovers that the wolf pack was led by the wolf god Moro, and the strange girl he saw help the wolves was San, the adopted daughter of Moro. San has the ability to talk to the nature spirits, and she is therefore known as Princess Mononoke (“Spirits of things”).

Ashitaka is concerned that Ishobi is destroying the forest. It turns out that the Lady Ishobi and Moro are in battle because of the damage being done to the forest.

To add to this, Ishobi has also recruited Samurai to help her in her fight, but the Samurai have two motives: one is to take the head of the Forest Spirit back to the Emperor, who believes it will give him immortality. The second is to take Irontown from the Lady Ishobi.

That is an abstract of the plot.

Miyazaki used computer-generated graphics in this for the first time, but most of the film was generated by hand. This I think is to its benefit. The drawing is breathtaking in places, and the depiction of such supernatural events as the Forest Spirit changing into the Nightwalker and the scene of the demon-possessed boar when it emerges from the forest for the first time are spectacular.

I think it’s too scary and bloody for children, but a friend assures me that this sort of film is par for the course for children in Japan.

The film is over two hours long, and it does pack a lot into that two hours. I found this film very interesting and watchable. I wanted to know what happened, and the plot was certainly not predictable. I believed in the world it depicted. I think in any film you have to allow it to draw you into its world (up to a point, some films are ludicrous and expect too much, this isn’t one of them).

Part of the reason for the film’s ability to keep me interested is because the characters cannot be labelled “goodies” and “baddies.” Yes, Moro and his pack are attacking helpless workers, but they are destroying the forest and he needs to protect his way of life. Yes, the Lady Ishobi is destroying the forest, but she’s making a living for herself and is helping others: she has removed the women from servitude in brothels, given them security, work, and a home; some have found husbands or companions. She has provided shelter, home and work for the lepers, normally outcasts. Neither side seems particularly vindictive; Ishobi’s attempts to rid herself of the wolf pack are for self preservation, and her coalition with the Samurai to destroy the Forest Spirit is her attempt to remove the constant threat of attack. One can argue that if she took a more conciliatory view, maybe some sort of truce could be reached, but time and again members of the wolf pack merely say “they are humans, they must be killed” – to the point that even Ashitaki, who has helped the animals – is threatened with death if he does not leave the forest. In fact, one could argue that it is the animals who show a “racist” attitude here – demanding the death of the humans because they are humans. None of the humans in the film demand the death of the animals simply because they are animals. Their deaths, and the destruction of their habitat, are an unfortunate side-effect of the humans’ industrialisation, not a deliberate act.

I hope that what you see from my analysis above is that the film is not goodies v. baddies. It’s nature v. industrialisation, and the compromise to that is not an easy one, and the film reflects that.

You’ll be happy to know the film does have an upbeat ending, but thankfully it’s not entirely predictable, in my opinion.

I thoroughly recommend the film."
128,"When a village is tormented by a wild boar, it falls to the young ""Ashitaka"" to sort it out. Turns out though, that it isn't an ordinary beast - and in the fight the man is afflicted with a curse that requires his journey to the great tree god to put right. His travels lead him to the unscrupulous ""Lady Eboshi"" who has developed a smelting process that enables her to make guns - giving her not only advantage against the other local clans, but also helping her on her quest to kill the gods and the wolves lead by the Princess Mononoke whom they have raised from infancy. The story is great, the colourful and detailed animation moves the fable along well and excitingly with plenty of solid characterisation and action a-plenty. As ever with Miyazaki, there is a moral to the story - and the last twenty minutes exemplify that beautifully. The English language dubbed version has a good cast injecting personality and an extra degree of emotion to the characters too. I did find the forest sprites just a bit too twee, but otherwise this is a great marriage of creativity and legend - and I really enjoyed it.","When a village is tormented by a wild boar, it falls to the young ""Ashitaka"" to sort it out. Turns out though, that it isn't an ordinary beast - and in the fight the man is afflicted with a curse that requires his journey to the great tree god to put right. His travels lead him to the unscrupulous ""Lady Eboshi"" who has developed a smelting process that enables her to make guns - giving her not only advantage against the other local clans, but also helping her on her quest to kill the gods and the wolves lead by the Princess Mononoke whom they have raised from infancy. The story is great, the colourful and detailed animation moves the fable along well and excitingly with plenty of solid characterisation and action a-plenty. As ever with Miyazaki, there is a moral to the story - and the last twenty minutes exemplify that beautifully. The English language dubbed version has a good cast injecting personality and an extra degree of emotion to the characters too. I did find the forest sprites just a bit too twee, but otherwise this is a great marriage of creativity and legend - and I really enjoyed it."
128,This is my favorite movie from Miyazaki. The visuals are great. The characters are great. The voice acting (English version) is great. The animation is great. Music is great. The story is good. Everything about this movie is so cool and it's just really fun to watch.,This is my favorite movie from Miyazaki. The visuals are great. The characters are great. The voice acting (English version) is great. The animation is great. Music is great. The story is good. Everything about this movie is so cool and it's just really fun to watch.
10200,"Terrible remake, original vastly superior","Terrible remake, original vastly superior"
10200,"***Intriguing, Spiritual, Insightful, Moving***

""The Day the Earth Stood Still"" (2008) is an intriguing, powerful and even moving modern sci-fi blockbuster. I particularly like the symbolism: Klaatu=Christ, GORT=YaHWeH, as well as the numerous biblical references: Noah's Ark, the death plague, human beings trying to put God in a box literally, the sacrificial nature of agape love, etc. In other words, the film tackles subjects of great depth that every human being can relate to whatever their belief system. This itself separates it from the usual idiotic blockbuster fare.

Now let me address some common criticisms (please see the film first before reading further due to **SPOILERS**): 

The kid is initially quite annoying but this is understandable as he's an archetype for what humankind is: an annoying, untrusting, simpleminded child-race. His sudden change into ""maturity"" represents how humanity needs to ""grow-up."" This helps make sense of the kid's repeated statements about killing Klaatu, which were magnified by the media's slander of Klaatu as a dangerous escaped convict. Klaatu's strange actions helped feed this negative mindset. As for the kid's dead father, the boy was only 9 years old and understood his father to be a soldier. Why wouldn't he have a mythical impression that he killed 'bad guys' for a living, likely with his bare hands? 

The judgment of mass human destruction was already set for the earth after hundreds of years of observation, including an Asian scout who lived with humans for 70 years. Klaatu was sent to activate the judgment UNLESS he observed some clear indication that the harsh judgment wasn't necessary yet. Klaatu didn't change the original plan UNTIL very late in the story, which is why he stated to Helen that he wasn't sure if he could overturn it. Although Klaatu was the primary agent, he wasn’t necessarily alone. Gort was there and he was only partially robotic, as well as Mr. Wu. There were probably hundreds/thousands of other aliens involved in one way or another.

The military attacks because their modus operandi is to defend the nation, which was augmented by the destructive nature of humanity in general. 

When Bate's character finally decides to send Helen out to talk with Klaatu she was the government’s proverbial last hope. All other governmental attempts to prevent the judgment failed abysmally up to this point, not to mention the judgment of mass destruction was ALREADY well into motion. Other national leaders were concerned with saving their own.

The biggest sphere was the central command orb. Klaatu didn't possess the power to stop the swarm himself; he had to get to the central orb to attempt to stop the mass destruction. Even then, he wasn't sure if he could do it. In fact, it cost him dearly.

The alien swarm only destroyed humanity and all human imprints (like the stadium, the the installation and the semi); I saw no evidence of the swarms destroying trees or animal life. The animal ark-orbs were obviously precautionary in nature; in other words, the aliens knew there would be collateral damage due to the nature of the swarms so they snatched away all manner of animal life as a precaution.

Klaatu made it quite clear what he was doing: saving the earth by destroying humanity and their intrinsic bent toward destruction. The way he put it was: If humanity lives the earth will die, but if humanity dies the earth will live.

The Aliens are powerful, but it's inaccurate to call them careless. They monitored the planet for centuries and their decision was carefully decided.

To write-off humanity's destructive bent as ""minor-league carelessness"" is shallow and un-enlightened, as well as wholly inaccurate.

The aliens' actions had nothing to do with ""might makes right"" but everything to do with saving a planet from the infection that would wholly destroy it (people) if they failed to act. Their celestial judgment was that the cancer HAD to be cut out and time was of the essence.

Really, the only ""detestable characters"" are the government as a whole, which is displayed as a cold machine. Helen (Jennifer Connelly) is a character of beauty, reverence and wisdom while the professor plays humanity's wise intercessor. Kathy Bates' character is unlikable because she represents the government and comes off as an arrogant machine-like biyatch. After she's completely humbled, however, she changes her tune. Meanwhile the kid is only 9 years old and lost both of his biological parents; cut him some slack. Besides, he also changes his tune and Klaatu takes on the role of his spiritual father. How can you NOT feel for Jacob when he falls on his face at his dad's grave? 

So none of the common gripes hold water. The insane bashing of the film is simply the result of an unjust critical feeding frenzy. If people would disregard the monkey-see-monkey-do panning and view the film with an open mind they might actually enjoy it and possibly discover something worthwhile.

The film runs 1 hour, 43 minutes.

GRADE: A-","***Intriguing, Spiritual, Insightful, Moving***

""The Day the Earth Stood Still"" (2008) is an intriguing, powerful and even moving modern sci-fi blockbuster. I particularly like the symbolism: Klaatu=Christ, GORT=YaHWeH, as well as the numerous biblical references: Noah's Ark, the death plague, human beings trying to put God in a box literally, the sacrificial nature of agape love, etc. In other words, the film tackles subjects of great depth that every human being can relate to whatever their belief system. This itself separates it from the usual idiotic blockbuster fare.

Now let me address some common criticisms (please see the film first before reading further due to **SPOILERS**): 

The kid is initially quite annoying but this is understandable as he's an archetype for what humankind is: an annoying, untrusting, simpleminded child-race. His sudden change into ""maturity"" represents how humanity needs to ""grow-up."" This helps make sense of the kid's repeated statements about killing Klaatu, which were magnified by the media's slander of Klaatu as a dangerous escaped convict. Klaatu's strange actions helped feed this negative mindset. As for the kid's dead father, the boy was only 9 years old and understood his father to be a soldier. Why wouldn't he have a mythical impression that he killed 'bad guys' for a living, likely with his bare hands? 

The judgment of mass human destruction was already set for the earth after hundreds of years of observation, including an Asian scout who lived with humans for 70 years. Klaatu was sent to activate the judgment UNLESS he observed some clear indication that the harsh judgment wasn't necessary yet. Klaatu didn't change the original plan UNTIL very late in the story, which is why he stated to Helen that he wasn't sure if he could overturn it. Although Klaatu was the primary agent, he wasn’t necessarily alone. Gort was there and he was only partially robotic, as well as Mr. Wu. There were probably hundreds/thousands of other aliens involved in one way or another.

The military attacks because their modus operandi is to defend the nation, which was augmented by the destructive nature of humanity in general. 

When Bate's character finally decides to send Helen out to talk with Klaatu she was the government’s proverbial last hope. All other governmental attempts to prevent the judgment failed abysmally up to this point, not to mention the judgment of mass destruction was ALREADY well into motion. Other national leaders were concerned with saving their own.

The biggest sphere was the central command orb. Klaatu didn't possess the power to stop the swarm himself; he had to get to the central orb to attempt to stop the mass destruction. Even then, he wasn't sure if he could do it. In fact, it cost him dearly.

The alien swarm only destroyed humanity and all human imprints (like the stadium, the the installation and the semi); I saw no evidence of the swarms destroying trees or animal life. The animal ark-orbs were obviously precautionary in nature; in other words, the aliens knew there would be collateral damage due to the nature of the swarms so they snatched away all manner of animal life as a precaution.

Klaatu made it quite clear what he was doing: saving the earth by destroying humanity and their intrinsic bent toward destruction. The way he put it was: If humanity lives the earth will die, but if humanity dies the earth will live.

The Aliens are powerful, but it's inaccurate to call them careless. They monitored the planet for centuries and their decision was carefully decided.

To write-off humanity's destructive bent as ""minor-league carelessness"" is shallow and un-enlightened, as well as wholly inaccurate.

The aliens' actions had nothing to do with ""might makes right"" but everything to do with saving a planet from the infection that would wholly destroy it (people) if they failed to act. Their celestial judgment was that the cancer HAD to be cut out and time was of the essence.

Really, the only ""detestable characters"" are the government as a whole, which is displayed as a cold machine. Helen (Jennifer Connelly) is a character of beauty, reverence and wisdom while the professor plays humanity's wise intercessor. Kathy Bates' character is unlikable because she represents the government and comes off as an arrogant machine-like biyatch. After she's completely humbled, however, she changes her tune. Meanwhile the kid is only 9 years old and lost both of his biological parents; cut him some slack. Besides, he also changes his tune and Klaatu takes on the role of his spiritual father. How can you NOT feel for Jacob when he falls on his face at his dad's grave? 

So none of the common gripes hold water. The insane bashing of the film is simply the result of an unjust critical feeding frenzy. If people would disregard the monkey-see-monkey-do panning and view the film with an open mind they might actually enjoy it and possibly discover something worthwhile.

The film runs 1 hour, 43 minutes.

GRADE: A-"
40508,"Let's delve into the rise and fall of the three ninjas franchise. Initially, the original “3 Ninjas” stands out as a remarkable film, even though it may not have received the same critical acclaim as others. It exudes a fun 90s vibe that resonates with many viewers. The characters Rocky, Colt, and Tumtum are engaging, especially in their martial arts pursuits under the guidance of their grandfather, Tanaka. While the film lacks in-depth martial arts training, it still retains a nostalgic charm that endears it to audiences, making it a cult classic worth revisiting.

The sequel, while decent, faced challenges with the recasting of Rocky and Tumtum, disrupting the continuity of the original cast. Despite this, the replacements manage to maintain the film's fun and entertaining essence, although it falls short of its predecessor. The lack of martial arts development persists, but the presence of the grandfather adds continuity to the franchise.

The third installment attempted to reunite the original cast for a nostalgic touch, yet the decision to recast once again puzzled viewers. While incorporating Indian culture and indigenous heroes, the film comes across as cheesy and lacks re-watch value, except for the reunion of the original cast members, notably the grandfather.

The franchise's downfall came with the fourth film, a disastrous attempt featuring Hulk Hogan and a Pamela Anderson look-alike in a money-grabbing amusement park takeover plot. The casting of Tumtum was particularly egregious, leading to a lackluster performance. Rocky and Colt were relegated to side characters, detracting from the essence of the three ninjas. The film's shift towards a villain-centric narrative fighting the FBI was seen as the franchise's lowest point, contributing to its eventual demise and disappearance from the spotlight.","Let's delve into the rise and fall of the three ninjas franchise. Initially, the original “3 Ninjas” stands out as a remarkable film, even though it may not have received the same critical acclaim as others. It exudes a fun 90s vibe that resonates with many viewers. The characters Rocky, Colt, and Tumtum are engaging, especially in their martial arts pursuits under the guidance of their grandfather, Tanaka. While the film lacks in-depth martial arts training, it still retains a nostalgic charm that endears it to audiences, making it a cult classic worth revisiting.

The sequel, while decent, faced challenges with the recasting of Rocky and Tumtum, disrupting the continuity of the original cast. Despite this, the replacements manage to maintain the film's fun and entertaining essence, although it falls short of its predecessor. The lack of martial arts development persists, but the presence of the grandfather adds continuity to the franchise.

The third installment attempted to reunite the original cast for a nostalgic touch, yet the decision to recast once again puzzled viewers. While incorporating Indian culture and indigenous heroes, the film comes across as cheesy and lacks re-watch value, except for the reunion of the original cast members, notably the grandfather.

The franchise's downfall came with the fourth film, a disastrous attempt featuring Hulk Hogan and a Pamela Anderson look-alike in a money-grabbing amusement park takeover plot. The casting of Tumtum was particularly egregious, leading to a lackluster performance. Rocky and Colt were relegated to side characters, detracting from the essence of the three ninjas. The film's shift towards a villain-centric narrative fighting the FBI was seen as the franchise's lowest point, contributing to its eventual demise and disappearance from the spotlight."
410718,"**The world tour, observation and the report card.**

When I first heard about this, I thought what is this overrated actor doing here when the National Geographic decided to deliver an important message. The world would listen to the stars like Brad Pitt, Spielberg or the James Cameroon. Then I thought if he has the loudest voice in the American, then he's the right person to do the job for his nation. Because literally UN is the US.

It all began with his little speech at the 2016 Oscars. Then I did not realise, but after watching this, everything makes sense. Anyway, he was average, he just toured the world and did what asked for, the rest of the job done by the film crew, but the film and its message certainly not neglactable. So my appreciation goes to the writer, director and the production house.

Okay, let's talk about the film. It is not just an important film, but a very, very important film. So they made sure it to easily accessible by everyone around the world in different platform. Some people are encouraged when they watch films like this, but soon after they go to their regular thing. We do not need that kind of attitude here, because it is already late and we can't reverse the damages that's already been done, though it can be prevented from happening further. Like I said in my 'Racing Extiction' review, a small contribution by everyone matters a lot.

The actor who is appointed as the United Nations 'Messenger of Peace' is set to travel the world for three years to observe and collect the information about the impact of man made global warming. Actually, he never asked any genuine question to whom he's interviewing for this documentary, like they are maybe the experts, scientists or the leaders around the world. But the goal was covered, even if it was a small amount. Because the first thing you have to understand about this film is, unlike any similar climate change documentaries, this did not try hard to give a complete picture on its topic. It was just an observation and its report kind of film by an actor who was chosen by the UN.

> ""If you consider this vastness of this universe, this planet earth is just a small boat. If this boat is sinking, then I think we will have to all sink together.""

At some point, this film was beyond that. We had seen all the debates in the previous documentaries, but the perspectives were different with the same message, I mean the warning. Because it does not stop here, if we does not change and the message is going to be very louder and louder every time. What the actor saw through his own eyes on his journey were the separate incidents/disasters from different parts of the world what we had seen in a single film like '2012'. And who knows, that kind of collapse might go to happen as well in a near future if we don't act today.

The common line from all these documentaries are 'the global warming is real and it's happening right now'. But to whom it is said? For every person, the citizens of the earth, including you and me. I liked what in this film they pointed out, that the leaders listens people who voted them. Because they say only what we wanted to listen. So if we pressure them, they will fall in line. And this thing is badly needed to come to effect in the United States. If the America change their attitude, so the world would, because that's what had followed in the 21st century. But it seems they are lagging behind compared to the Baltic countries who are going fossil fuel- free nations.

This film's title referred as from the bible, like Noah's ark story. So do we need one if the polar ices completely meltdown? The answers is a big YES. Like the one that we saw in the film '2012'. Not for the whole world, but for those poor little island inhabitants. The continent's coast locals will relocate to inland. The fun part is the islanders did nothing big to suffer this, but those who did are going to be kind of safe in the mainland.

Every living organism, either in the land or in the ocean has the right to live just like us. So we must look from their perspective as well, because we're controlling the earth, not they are. We decide the earth's fate and it should be a good one, keeping in mind humanity's future as well.

This film has done its job, it's now on us to act. Don't think it is the government or the corporate's job, we all have our part to contribute and yes, it is so tiny, but the result will be enormous when we saw it together with everyone's contribution. Just watching a film like this is no use, we need to educate around us, especially for those has no opportunity to watch them or unable to understand them. This is a must see film and try to share the disc with your friends and colleagues. Because keeping it in your blu-ray/DVD case safe forever is no use. 'Before the Flood' is present, there won't be a sequel called 'After the Flood', because we might not here to make one.

_9/10_","**The world tour, observation and the report card.**

When I first heard about this, I thought what is this overrated actor doing here when the National Geographic decided to deliver an important message. The world would listen to the stars like Brad Pitt, Spielberg or the James Cameroon. Then I thought if he has the loudest voice in the American, then he's the right person to do the job for his nation. Because literally UN is the US.

It all began with his little speech at the 2016 Oscars. Then I did not realise, but after watching this, everything makes sense. Anyway, he was average, he just toured the world and did what asked for, the rest of the job done by the film crew, but the film and its message certainly not neglactable. So my appreciation goes to the writer, director and the production house.

Okay, let's talk about the film. It is not just an important film, but a very, very important film. So they made sure it to easily accessible by everyone around the world in different platform. Some people are encouraged when they watch films like this, but soon after they go to their regular thing. We do not need that kind of attitude here, because it is already late and we can't reverse the damages that's already been done, though it can be prevented from happening further. Like I said in my 'Racing Extiction' review, a small contribution by everyone matters a lot.

The actor who is appointed as the United Nations 'Messenger of Peace' is set to travel the world for three years to observe and collect the information about the impact of man made global warming. Actually, he never asked any genuine question to whom he's interviewing for this documentary, like they are maybe the experts, scientists or the leaders around the world. But the goal was covered, even if it was a small amount. Because the first thing you have to understand about this film is, unlike any similar climate change documentaries, this did not try hard to give a complete picture on its topic. It was just an observation and its report kind of film by an actor who was chosen by the UN.

> ""If you consider this vastness of this universe, this planet earth is just a small boat. If this boat is sinking, then I think we will have to all sink together.""

At some point, this film was beyond that. We had seen all the debates in the previous documentaries, but the perspectives were different with the same message, I mean the warning. Because it does not stop here, if we does not change and the message is going to be very louder and louder every time. What the actor saw through his own eyes on his journey were the separate incidents/disasters from different parts of the world what we had seen in a single film like '2012'. And who knows, that kind of collapse might go to happen as well in a near future if we don't act today.

The common line from all these documentaries are 'the global warming is real and it's happening right now'. But to whom it is said? For every person, the citizens of the earth, including you and me. I liked what in this film they pointed out, that the leaders listens people who voted them. Because they say only what we wanted to listen. So if we pressure them, they will fall in line. And this thing is badly needed to come to effect in the United States. If the America change their attitude, so the world would, because that's what had followed in the 21st century. But it seems they are lagging behind compared to the Baltic countries who are going fossil fuel- free nations.

This film's title referred as from the bible, like Noah's ark story. So do we need one if the polar ices completely meltdown? The answers is a big YES. Like the one that we saw in the film '2012'. Not for the whole world, but for those poor little island inhabitants. The continent's coast locals will relocate to inland. The fun part is the islanders did nothing big to suffer this, but those who did are going to be kind of safe in the mainland.

Every living organism, either in the land or in the ocean has the right to live just like us. So we must look from their perspective as well, because we're controlling the earth, not they are. We decide the earth's fate and it should be a good one, keeping in mind humanity's future as well.

This film has done its job, it's now on us to act. Don't think it is the government or the corporate's job, we all have our part to contribute and yes, it is so tiny, but the result will be enormous when we saw it together with everyone's contribution. Just watching a film like this is no use, we need to educate around us, especially for those has no opportunity to watch them or unable to understand them. This is a must see film and try to share the disc with your friends and colleagues. Because keeping it in your blu-ray/DVD case safe forever is no use. 'Before the Flood' is present, there won't be a sequel called 'After the Flood', because we might not here to make one.

_9/10_"
458737,"I don't believe I've ever seen a film shot so deliberately. Almost every single angle is framed with precision and intent. Like a Wes Anderson film sapped of any and all whimsy. Many shots linger in a style not often found outside of horror films, in the scenes they intend to deliver the audience a scare that its characters do not see.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._","I don't believe I've ever seen a film shot so deliberately. Almost every single angle is framed with precision and intent. Like a Wes Anderson film sapped of any and all whimsy. Many shots linger in a style not often found outside of horror films, in the scenes they intend to deliver the audience a scare that its characters do not see.

_Final rating:★★★ - I liked it. Would personally recommend you give it a go._"
